Account,date,daily_pnl,win_rate,avg_trade_size,trade_count,avg_leverage,long_short_ratio,classification,leverage_segment,activity_segment,consistency_segment,profit_flag
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,0.0,0.17,1,0.17,0.0,Greed,Low,Low,Inconsistent,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,159.100072,0.17204301075268819,373.7049462365591,93,373.7049462365591,-0.03896103845505145,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,161.289904,0.35789473684210527,353.5228421052631,95,353.5228421052631,-0.13978494473349523,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,147.410285,0.41358024691358025,666.941975308642,162,666.941975308642,0.35403726488175613,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,233.36546,0.48826291079812206,895.9638028169014,213,895.9638028169014,0.3492822949795106,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-316.245208,0.3464373464373464,2149.553218673219,407,2149.553218673219,0.6888888871879286,Extreme Greed,High,High,Inconsistent,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,780.001314,0.34977578475336324,729.007130044843,446,729.007130044843,0.6275862054538248,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,0.3117782909930716,422.0099076212471,433,422.0099076212471,0.5174013909109016,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,673.6312,0.40384615384615385,333.45923076923077,156,333.45923076923077,0.4228187891085987,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,108.321127,0.42028985507246375,200.7391304347826,69,200.7391304347826,0.09090908953168046,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,464.281002,0.4222222222222222,324.3673333333333,225,324.3673333333333,-0.061611374115585905,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,0.35023041474654376,1012.5778341013826,217,1012.5778341013826,0.5238095213151928,Extreme Greed,Low,High,Inconsistent,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,193.66415899999998,0.4378698224852071,1110.83224852071,169,1110.83224852071,0.21212121083562901,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,0.37681159420289856,946.0768115942029,207,946.0768115942029,0.2673267313498677,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9551.73423,0.44660194174757284,388.948786407767,206,388.948786407767,-0.05357142809311225,Extreme Greed,Low,High,Inconsistent,1
